,time,price
548,2018-01-04 11:31:20,46.32
551,2018-01-04 11:31:50,46.68
555,2018-01-04 11:32:30,46.29
557,2018-01-04 11:32:50,46.326
558,2018-01-04 11:33:00,46.655
559,2018-01-04 11:33:10,46.33
560,2018-01-04 11:33:20,46.39
562,2018-01-04 11:33:40,46.7
564,2018-01-04 11:34:00,46.41
565,2018-01-04 11:34:10,46.44
569,2018-01-04 11:34:50,46.41
575,2018-01-04 11:35:50,46.47
579,2018-01-04 11:36:30,46.46
580,2018-01-04 11:36:40,46.46
581,2018-01-04 11:36:50,46.37
582,2018-01-04 11:37:00,46.74
584,2018-01-04 11:37:20,46.43
585,2018-01-04 11:37:30,46.75
586,2018-01-04 11:37:40,46.7101
588,2018-01-04 11:38:00,46.76
590,2018-01-04 11:38:20,46.71
596,2018-01-04 11:39:20,46.715
598,2018-01-04 11:39:40,46.46
600,2018-01-04 11:40:00,46.53
606,2018-01-04 11:41:00,46.56
608,2018-01-04 11:41:20,46.7
610,2018-01-04 11:41:40,46.74
611,2018-01-04 11:41:50,46.56
614,2018-01-04 11:42:20,46.56
615,2018-01-04 11:42:30,46.575
616,2018-01-04 11:42:40,46.6
617,2018-01-04 11:42:50,46.8
628,2018-01-04 11:44:40,46.79
630,2018-01-04 11:45:00,46.78
633,2018-01-04 11:45:30,46.755
634,2018-01-04 11:45:40,46.58
635,2018-01-04 11:45:50,46.78
638,2018-01-04 11:46:20,46.75
639,2018-01-04 11:46:30,46.72
640,2018-01-04 11:46:40,46.68
645,2018-01-04 11:47:30,46.61
646,2018-01-04 11:47:40,46.67
647,2018-01-04 11:47:50,46.64
650,2018-01-04 11:48:20,46.64
652,2018-01-04 11:48:40,46.66
656,2018-01-04 11:49:20,46.73
658,2018-01-04 11:49:40,46.695
659,2018-01-04 11:49:50,46.75
660,2018-01-04 11:50:00,46.76
662,2018-01-04 11:50:20,46.7101
670,2018-01-04 11:51:40,46.81
671,2018-01-04 11:51:50,46.81
673,2018-01-04 11:52:10,46.74
674,2018-01-04 11:52:20,46.775
679,2018-01-04 11:53:10,46.7385
681,2018-01-04 11:53:30,46.78
